VideoName,ValueExtraversion,ValueAgreeableness,ValueConscientiousness,ValueNeurotisicm,ValueOpenness
GQczMGrVgbc.001.mp4,0.5700934579439253,0.70329670329670324,0.64077669902912615,0.66666666666666674,0.5444444444444444
-utrsarZeIY.004.mp4,0.52336448598130847,0.51648351648351654,0.43689320388349517,0.33333333333333331,0.41111111111111115
3HA2W1s4oP8.001.mp4,0.40186915887850472,0.53846153846153844,0.42718446601941745,0.51041666666666663,0.38888888888888895
hM96SfN5_F4.004.mp4,0.48598130841121495,0.63736263736263732,0.35922330097087385,0.45833333333333337,0.56666666666666665
SgzOYog1pH4.003.mp4,0.53271028037383183,0.52747252747252749,0.65048543689320393,0.45833333333333337,0.4777777777777778
-IK--4uz5ZY.002.mp4,0.5420560747663552,0.52747252747252749,0.66019417475728159,0.63541666666666663,0.56666666666666665
dLltwqkvsNg.001.mp4,0.56074766355140193,0.70329670329670324,0.53398058252427183,0.55208333333333337,0.56666666666666665
z_W8_j7CB2A.000.mp4,0.10280373831775697,0.2857142857142857,0.17475728155339804,0.32291666666666663,0.18888888888888891
QiPb8vlGDFo.001.mp4,0.42056074766355139,0.4505494505494505,0.33980582524271846,0.41666666666666669,0.46666666666666667
m7zdWVDT-34.002.mp4,0.70093457943925241,0.75824175824175832,0.8252427184466018,0.72916666666666674,0.7222222222222221
k3iu-fhIkeI.002.mp4,0.43925233644859812,0.54945054945054939,0.41747572815533979,0.32291666666666663,0.43333333333333335
9sfpnlBRCl0.000.mp4,0.59813084112149539,0.61538461538461531,0.43689320388349517,0.57291666666666663,0.55555555555555558
AjCI_w9Szks.005.mp4,0.21495327102803741,0.4175824175824176,0.43689320388349517,0.38541666666666669,0.33333333333333337
51z2rCqPqPE.005.mp4,0.67289719626168232,0.62637362637362637,0.7184466019417477,0.67708333333333337,0.89999999999999991
NWlCdMyKlE0.003.mp4,0.71962616822429926,0.7142857142857143,0.73786407766990292,0.67708333333333337,0.73333333333333328
7Wr-fwmpRfw.001.mp4,0.53271028037383183,0.54945054945054939,0.50485436893203883,0.53125,0.52222222222222225
j6d-KRDXnUI.001.mp4,0.49532710280373837,0.34065934065934061,0.43689320388349517,0.44791666666666669,0.37777777777777782
kdPRPO3wgg0.000.mp4,0.60747663551401876,0.74725274725274737,0.66019417475728159,0.70833333333333337,0.69999999999999996
mq9NNKmKYdk.005.mp4,0.85981308411214963,0.79120879120879117,0.70873786407766992,0.9375,0.76666666666666661
T4eZ81aJwJI.003.mp4,0.39252336448598135,0.5714285714285714,0.58252427184466016,0.39583333333333337,0.51111111111111107
mkWfG-4vvGc.003.mp4,0.62616822429906549,0.76923076923076916,0.73786407766990292,0.75000000000000011,0.81111111111111101
